"family","day","chkov","ref2p","O","A","M"
"B6_19",15,"resistant","susceptible",-8.19612878,NA,-7.17293367
"B6_19",18,"resistant","susceptible",NA,-5.88836586,-6.06036691
"B6_19",14,"resistant","susceptible",-8.4510057,-4.30855407,NA
"B6_20",15,"resistant","susceptible",-8.89077878,NA,-8.70228367
"B6_20",14,"resistant","susceptible",-8.5878057,-5.06090407,NA
"B6_20",18,"resistant","susceptible",NA,-5.10670335,-4.48811691
"B6_4",18,"resistant","susceptible",NA,-5.07938025,-5.65941691
"B6_4",15,"resistant","susceptible",-6.97977878,NA,-7.40950341
"B6_4",14,"resistant","susceptible",-7.48021098,-3.74370407,NA
"B6_7",14,"susceptible","susceptible",-6.9396057,-4.75037693,NA
"B6_7",15,"susceptible","susceptible",-8.90889316,NA,-6.05055682
"B6_7",18,"susceptible","susceptible",NA,-4.55580335,-5.2858998
"B6_9",14,"resistant","susceptible",-6.3904057,-4.80900407,NA
"B6_9",15,"resistant","susceptible",-7.77044316,NA,-7.81095341
"B6_9",18,"resistant","susceptible",NA,-5.29938025,-3.31206586
"B7_10",17,"resistant","susceptible",-6.02807482,-8.2913127,NA
"B7_10",18,"resistant","susceptible",-7.78075507,NA,-6.33757805
"B7_13",17,"susceptible","resistant",-5.05792482,-6.54029006,NA
"B7_13",18,"susceptible","resistant",-8.58426957,NA,-5.25983561
"B7_16",17,"susceptible","susceptible",-5.80504123,-6.91439006,NA
"B7_16",18,"susceptible","susceptible",NA,NA,-6.01128561
"B7_19",17,"susceptible","susceptible",-6.38334123,-8.1266627,NA
"B7_19",18,"susceptible","susceptible",-8.11351957,NA,-5.44012805
"B7_22",17,"resistant","susceptible",-5.63679123,-6.9944627,NA
"B7_22",18,"resistant","susceptible",-7.1407524,NA,-6.0822524
"B7_3",18,"resistant","susceptible",-8.05835507,NA,-5.28303561
"B7_3",17,"resistant","susceptible",-8.35522431,-5.64464006,NA
"B7_6",18,"susceptible","susceptible",-6.95831957,NA,-6.28357805
"B7_6",17,"susceptible","susceptible",-7.68772431,-7.3078127,NA
"B7_7",17,"susceptible","susceptible",-7.18332482,-6.33517431,NA
"B7_7",18,"susceptible","susceptible",-8.30295507,NA,-4.81347805
"B8_1",23,"susceptible","susceptible",-6.17290735,NA,-6.81193561
"B8_1",24,"susceptible","susceptible",NA,-6.37236851,-6.43971992
"B8_10",24,"susceptible","susceptible",NA,-5.58024939,-6.13496992
"B8_10",23,"susceptible","susceptible",-7.93315735,NA,-6.08627137
"B8_11",23,"resistant","resistant",-6.62520735,NA,-8.02292137
"B8_11",24,"resistant","resistant",NA,-4.42434939,-9.05904527
"B8_2",23,"resistant","susceptible",-5.98330735,NA,-5.59397137
"B8_2",24,"resistant","susceptible",NA,-5.39826851,-5.99651992
"B8_4",23,"susceptible","susceptible",-7.70325735,NA,-5.87848561
"B8_4",24,"susceptible","susceptible",NA,-5.38019939,-5.64371992
"B8_5",24,"resistant","susceptible",NA,-5.58626851,-6.33172266
"B8_5",23,"resistant","susceptible",-6.16115735,NA,-6.96422137
"B8_6",23,"resistant","susceptible",-8.08539939,NA,-7.21302137
"B8_6",24,"resistant","susceptible",NA,-4.20854558,-5.47207266
"B8_7",24,"resistant","susceptible",NA,-4.35679939,-5.05901992
"B8_7",23,"resistant","susceptible",-7.26189939,NA,-4.74922137
"B8_8",23,"susceptible","susceptible",-7.80660735,NA,-4.91202137
"B8_8",24,"susceptible","susceptible",NA,-4.92931851,-5.69239527
"B8_9",23,"resistant","susceptible",-7.43310735,NA,-6.52157137
"B8_9",24,"resistant","susceptible",NA,-5.56409558,-5.21906851
"B9_11",24,"resistant","susceptible",-6.33260208,NA,-5.99955712
"B9_11",25,"resistant","susceptible",NA,-4.57346489,-7.76470689
"B9_11",23,"resistant","susceptible",-5.43977266,-5.30062375,NA
"B9_12",23,"resistant","susceptible",-8.32265333,-5.55572375,NA
"B9_12",25,"resistant","susceptible",NA,-5.01824988,-7.70040689
"B9_12",24,"resistant","susceptible",-10.36804043,NA,-5.93812759
"B9_18",24,"susceptible","susceptible",NA,NA,-6.11152759
"B9_18",25,"susceptible","susceptible",NA,-4.35654988,-7.57605441
"B9_18",23,"susceptible","susceptible",-6.79305333,-5.34902375,NA
"B9_20",23,"susceptible","susceptible",-7.47503732,-6.40507375,NA
"B9_20",25,"susceptible","susceptible",NA,-5.52686908,-5.90701489
"B9_20",24,"susceptible","susceptible",-7.04120208,NA,-5.04300441
"B9_23",23,"susceptible","susceptible",-6.34548732,-5.75566034,NA
"B9_23",24,"susceptible","susceptible",-7.50653775,NA,-3.95770712
"B9_23",25,"susceptible","susceptible",NA,-4.85755274,NA
"B9_6",23,"resistant","susceptible",-6.17105333,-5.10232375,NA
"B9_6",24,"resistant","susceptible",-6.58898775,NA,-7.98600712
"B9_6",25,"resistant","susceptible",NA,-4.35039988,-7.70535689
"B9_7",24,"resistant","susceptible",-5.46243775,NA,-7.34150712
"B9_7",23,"resistant","susceptible",-5.79697266,-5.68118732,NA
"B9_7",25,"resistant","susceptible",NA,-7.38264988,-8.22305689
"B9_8",25,"susceptible","resistant",NA,-5.38541489,-5.95540689
"B9_8",23,"susceptible","resistant",-5.00587266,-5.34091034,NA
"B9_8",24,"susceptible","resistant",-6.43470208,NA,-3.86572759
