"family","day","chkov","ref2p","O","A","M"
"A4_16",10,"resistant","susceptible",NA,-5.13742387,-5.03115731
"A4_16",7,"resistant","susceptible",NA,-4.91164151,-7.62008335
"A4_18",8,"susceptible","susceptible",-7.11586212,-7.84804175,NA
"A4_18",7,"susceptible","susceptible",NA,-7.09094151,-5.19419847
"A4_18",9,"susceptible","susceptible",-10.70781453,NA,-5.41941453
"A4_2",9,"resistant","susceptible",-7.76669579,NA,-4.37964579
"A4_2",8,"resistant","susceptible",-7.82105341,-6.43194175,NA
"A4_2",7,"resistant","susceptible",NA,-4.89876683,-6.27508335
"A4_2",10,"resistant","susceptible",NA,-6.68317387,-5.1277228
"A4_20",8,"resistant","susceptible",-7.82051212,-5.39119175,NA
"A4_20",7,"resistant","susceptible",NA,-3.15659151,-6.38789847
"A4_20",9,"resistant","susceptible",-5.71434579,NA,-4.57149579
"A4_24",9,"susceptible","susceptible",-8.46713913,NA,-7.01806453
"A4_24",8,"susceptible","susceptible",-8.42225346,-5.20542421,NA
"A4_24",7,"susceptible","susceptible",NA,-5.1093773,-6.63004847
"A4_26",9,"resistant","susceptible",-9.12139876,NA,-5.44082772
"A4_26",7,"resistant","susceptible",NA,-2.95541683,-9.21924847
"A4_26",8,"resistant","susceptible",-6.39670341,-5.11770341,NA
"A4_5",8,"susceptible","susceptible",-9.46146212,-7.21932421,NA
"A4_5",7,"susceptible","susceptible",NA,-3.09624151,-4.99363335
"A4_5",9,"susceptible","susceptible",-6.79218913,NA,-4.63471453
"A4_8",7,"susceptible","susceptible",NA,-3.88169175,-5.84971683
"A4_8",9,"susceptible","susceptible",-7.97113913,NA,-5.82827772
"A4_8",8,"susceptible","susceptible",-7.82500346,-5.53375341,NA
"A4_8",10,"susceptible","susceptible",NA,-4.70370878,-5.22419295
"A5_10",10,"resistant","susceptible",NA,-4.150623,-6.1179728
"A5_10",13,"resistant","susceptible",-8.21643843,-4.53607881,NA
"A5_10",14,"resistant","susceptible",-8.95035496,NA,-6.9508127
"A5_15",14,"susceptible","susceptible",-8.50239001,NA,-4.23730894
"A5_15",13,"susceptible","susceptible",-7.30533843,-5.70627176,NA
"A5_15",10,"susceptible","susceptible",NA,-4.839423,-4.9359228
"A5_2",14,"susceptible","susceptible",-9.05104001,NA,-4.2676627
"A5_2",10,"susceptible","susceptible",NA,-5.55546346,-5.73435731
"A5_2",13,"susceptible","susceptible",-9.99341103,-6.02767881,NA
"A5_20",14,"susceptible","susceptible",-6.92375496,NA,-3.42605894
"A5_20",13,"susceptible","susceptible",-6.59947387,-5.88792176,NA
"A5_20",10,"susceptible","susceptible",NA,-4.724073,-3.936823
"A5_22",10,"resistant","susceptible",NA,-6.43346346,-6.89484295
"A5_22",14,"resistant","susceptible",-8.3396627,NA,-5.87007176
"A5_22",13,"resistant","susceptible",-7.56188843,-7.33502582,NA
"A5_23",14,"susceptible","susceptible",-6.53050496,NA,-4.72325894
"A5_23",10,"susceptible","susceptible",NA,NA,-5.56035731
"A5_23",13,"susceptible","susceptible",-7.44987387,-6.72762582,NA
"A5_3",14,"resistant","susceptible",-9.76834001,NA,-5.52875894
"A5_3",10,"resistant","susceptible",NA,-5.55961346,-6.17059295
"A5_3",13,"resistant","susceptible",-10.11666103,-5.79142881,NA
"A5_7",13,"resistant","susceptible",-7.81806103,-4.12037582,NA
"A5_7",14,"resistant","susceptible",-6.73034001,NA,-4.2369127
"A5_7",10,"resistant","susceptible",NA,NA,-5.69819295
"A5_8",14,"resistant","resistant",-7.91089001,NA,-5.23860894
"A5_8",13,"resistant","resistant",-8.33428843,-6.05062582,NA
"A5_8",10,"resistant","resistant",NA,-5.87147387,NA
"A6_1",13,"resistant","susceptible",NA,-2.5593753,-5.18516632
"A6_1",15,"resistant","susceptible",-7.79232025,NA,-8.29924316
"A6_1",14,"resistant","susceptible",-8.07226098,-4.85821184,NA
"A6_10",15,"resistant","susceptible",-8.33972878,NA,-8.06510341
"A6_10",14,"resistant","susceptible",-8.03101098,-5.29187693,NA
"A6_10",13,"resistant","susceptible",NA,-5.30865851,-5.12477481
"A6_12",14,"susceptible","susceptible",-9.85771661,-4.36110407,NA
"A6_12",13,"susceptible","susceptible",NA,-4.28375851,-4.99862481
"A6_12",15,"susceptible","susceptible",-7.76382025,NA,-5.77139316
"A6_14",15,"resistant","susceptible",-8.80817025,NA,-7.79358367
"A6_14",14,"resistant","susceptible",-8.27666661,-6.71132693,NA
"A6_14",13,"resistant","susceptible",NA,-5.24655851,-5.83868482
"A6_15",14,"susceptible","susceptible",-8.15806098,-4.28356184,NA
"A6_15",13,"susceptible","susceptible",NA,-4.16336184,-4.98863482
"A6_15",15,"susceptible","susceptible",-8.50837878,NA,-6.62120341
"A6_16",14,"resistant","susceptible",-6.70716098,-4.89932693,NA
"A6_16",15,"resistant","susceptible",-8.41252025,NA,-4.70315682
"A6_16",13,"resistant","susceptible",NA,-4.04890851,-2.39821632
"A6_3",14,"susceptible","resistant",-6.55621661,-4.41451184,NA
"A6_3",13,"susceptible","resistant",NA,-5.66986184,-5.39478482
"A6_3",15,"susceptible","resistant",-6.20457025,NA,-6.49900682
"A6_4",13,"susceptible","susceptible",NA,-6.1613753,-6.49611632
"A6_4",15,"susceptible","susceptible",-8.38153367,NA,-7.06040682
"A6_4",14,"susceptible","susceptible",-8.15711098,-5.35322693,NA
"A6_8",15,"resistant","susceptible",-7.31292878,NA,-6.09460341
"A6_8",14,"resistant","susceptible",-7.70006098,-3.95737693,NA
"A6_8",13,"resistant","susceptible",NA,-5.32575851,NA
"A7_10",16,"resistant","susceptible",NA,-5.95171586,-4.56746586
"A7_10",17,"resistant","susceptible",-6.95909123,-6.75984006,NA
"A7_10",18,"resistant","susceptible",-8.62760507,NA,-4.8787524
"A7_11",18,"susceptible","susceptible",-8.78475507,NA,-6.4815024
"A7_11",16,"susceptible","susceptible",NA,-4.30815335,-6.1591498
"A7_11",17,"susceptible","susceptible",-7.17369123,-7.6293627,NA
"A7_14",18,"resistant","susceptible",-7.13130507,NA,-4.14373561
"A7_14",17,"resistant","susceptible",-6.99264123,-6.2739627,NA
"A7_14",16,"resistant","susceptible",NA,-4.25175335,-5.6836498
"A7_20",17,"resistant","susceptible",-5.41114123,-4.77589006,NA
"A7_20",18,"resistant","susceptible",-7.3002524,NA,-6.3463524
"A7_20",16,"resistant","susceptible",NA,-4.76863025,-6.44851691
"A7_23",17,"resistant","susceptible",NA,-5.85026691,NA
"A7_23",18,"resistant","susceptible",-7.57642482,NA,-4.5542524
"A7_23",16,"resistant","susceptible",NA,-4.42438025,-5.18851691
"A7_24",16,"susceptible","susceptible",NA,-4.78268025,-7.61686586
"A7_24",18,"susceptible","susceptible",-8.79190507,NA,-7.0057524
"A7_24",17,"susceptible","susceptible",-7.42322431,-7.23142431,NA
"A7_3",18,"resistant","susceptible",-6.95281957,NA,-4.70148561
"A7_3",17,"resistant","susceptible",-3.95177482,-4.44594006,NA
"A7_3",16,"resistant","susceptible",NA,-4.40863025,-5.13776691
"A7_4",18,"susceptible","susceptible",-6.85956957,NA,-7.69483561
"A7_4",16,"susceptible","susceptible",NA,-5.33948025,-8.8335998
"A7_4",17,"susceptible","susceptible",-4.95882482,-6.54732431,NA
"A7_8",18,"resistant","susceptible",NA,NA,-4.58227805
"A7_8",16,"resistant","susceptible",NA,-4.46450335,-6.6688998
"A7_8",17,"resistant","susceptible",NA,-5.5302127,NA
"A7_9",18,"resistant","susceptible",-6.60856957,NA,-4.76352805
"A7_9",16,"resistant","susceptible",NA,-4.30890335,-7.0315998
"A7_9",17,"resistant","susceptible",-5.12467431,-3.72114006,NA
"A9_1",24,"resistant","susceptible",-6.12474043,NA,-5.48037759
"A9_1",25,"resistant","susceptible",NA,-3.93023388,-6.83920274
"A9_1",22,"resistant","susceptible",NA,-3.65214558,-6.99929527
"A9_1",23,"resistant","susceptible",-4.57012266,-3.14461034,NA
"A9_11",23,"resistant","susceptible",-6.10688732,-5.90244043,NA
"A9_11",25,"resistant","susceptible",NA,-6.55906908,-8.17906489
"A9_11",24,"resistant","susceptible",-6.65929043,NA,-6.05745712
"A9_11",22,"resistant","susceptible",NA,-5.38714558,-6.72394527
"A9_14",23,"resistant","resistant",-5.52557266,-3.98084043,NA
"A9_14",22,"resistant","resistant",NA,-5.22556851,-6.11934527
"A9_14",24,"resistant","resistant",-6.29935208,NA,-6.53712759
"A9_19",23,"resistant","susceptible",-6.89540333,-6.63286034,NA
"A9_19",25,"resistant","susceptible",NA,-5.42318388,-7.08690274
"A9_19",22,"resistant","susceptible",NA,-4.56514558,-7.72324527
"A9_19",24,"resistant","susceptible",-6.61900208,NA,-7.89587759
"A9_20",24,"resistant","susceptible",-6.51855208,NA,-5.42195712
"A9_20",22,"resistant","susceptible",NA,-4.62916851,-5.92339527
"A9_20",25,"resistant","susceptible",NA,-5.14726908,-7.95085274
"A9_20",23,"resistant","susceptible",-6.44020333,-5.67113732,NA
"A9_21",24,"susceptible","susceptible",NA,NA,-5.86705712
"A9_21",22,"susceptible","susceptible",NA,-3.52359939,-5.95514527
"A9_21",23,"susceptible","susceptible",-6.98013732,-5.58097375,NA
"A9_22",22,"resistant","resistant",NA,-6.95499939,-8.56591992
"A9_22",23,"resistant","resistant",-9.12045333,-6.51206034,NA
"A9_22",24,"resistant","resistant",-6.79483775,NA,-7.52037759
"A9_24",22,"resistant","susceptible",NA,-8.64469558,-6.05291992
"A9_24",23,"resistant","susceptible",-8.33023732,-5.97887375,NA
"A9_24",24,"resistant","susceptible",-8.37179043,NA,-6.22853775
"A9_3",24,"susceptible","susceptible",-5.55188775,NA,-4.73140441
"A9_3",23,"susceptible","susceptible",-7.86035333,-4.78996034,NA
"A9_3",22,"susceptible","susceptible",NA,-5.43394558,-6.01351851
"A9_5",22,"resistant","susceptible",NA,-6.62009558,-7.01501992
"A9_5",24,"resistant","susceptible",-7.10089043,NA,-9.86285712
"A9_5",23,"resistant","susceptible",-7.61918732,-6.04771034,NA
"A9_5",25,"resistant","susceptible",NA,-7.44956908,-10.38645441
"B1_12",5,"resistant","susceptible",-8.00888367,-5.04985467,NA
"B1_12",3,"resistant","susceptible",-7.43929611,NA,-5.57968092
"B1_12",4,"resistant","susceptible",NA,-5.84768238,-6.19826128
"B1_12",1,"resistant","susceptible",NA,-3.90176535,-4.42011254
"B1_12",2,"resistant","susceptible",-7.2245485,-4.54121863,NA
"B1_16",2,"susceptible","susceptible",-6.8430485,-4.93309405,NA
"B1_16",3,"susceptible","susceptible",-6.8268326,NA,-5.84549611
"B1_16",1,"susceptible","susceptible",NA,-2.96901535,-6.63656254
"B1_18",3,"resistant","susceptible",-7.1707826,NA,-3.06963238
"B1_18",1,"resistant","susceptible",NA,-4.66136535,-4.21141374
"B1_18",2,"resistant","susceptible",-6.0464485,-4.33359405,NA
"B1_2",3,"resistant","susceptible",-9.19089573,NA,-5.00417745
"B1_2",4,"resistant","susceptible",NA,-4.54568238,-9.26527421
"B1_2",2,"resistant","susceptible",-6.92737618,-3.58246863,NA
"B1_2",5,"resistant","susceptible",NA,-4.96780795,NA
"B1_2",1,"resistant","susceptible",NA,-3.00666535,-5.87341254
"B1_22",2,"resistant","susceptible",-6.4682985,-5.55292745,NA
"B1_22",3,"resistant","susceptible",-8.01674573,NA,-5.61838092
"B1_22",1,"resistant","susceptible",NA,-4.17006374,-6.64186374
"B1_24",5,"resistant","susceptible",-9.52723367,-4.66343367,NA
"B1_24",1,"resistant","susceptible",NA,-3.01406374,-6.41751374
"B1_24",4,"resistant","susceptible",NA,-5.78636453,-7.55186128
"B1_24",3,"resistant","susceptible",-8.9986326,NA,NA
"B1_24",2,"resistant","susceptible",-7.13286254,-3.58682745,NA
"B1_3",3,"resistant","susceptible",-7.5088326,NA,-6.86723092
"B1_3",1,"resistant","susceptible",NA,-4.82596535,-5.08921374
"B1_3",2,"resistant","susceptible",-6.16942618,-4.58651863,NA
"B1_3",4,"resistant","susceptible",NA,-4.35588238,-6.44277421
"B1_3",5,"resistant","susceptible",-6.19453367,-4.55819544,NA
"B1_5",5,"resistant","susceptible",-7.31390795,-5.15975795,NA
"B1_5",4,"resistant","susceptible",NA,-5.54288238,-7.35737421
"B1_5",2,"resistant","susceptible",-7.3979985,-3.52921863,NA
"B1_5",1,"resistant","susceptible",NA,-3.91671535,-5.26361254
"B1_5",3,"resistant","susceptible",-8.10899611,NA,-4.87274611
"B1_8",2,"resistant","susceptible",-6.60912618,-3.78406863,NA
"B1_8",1,"resistant","susceptible",NA,-3.58456535,-5.94371374
"B1_8",3,"resistant","susceptible",-7.7682326,NA,-6.27629611
"B10_1",28,"susceptible","resistant",NA,-5.69594487,-7.86200496
"B10_1",27,"susceptible","resistant",-6.9147198,NA,-6.51589623
"B10_1",30,"susceptible","resistant",-6.33360496,NA,-8.29240235
"B10_1",26,"susceptible","resistant",-8.14046792,-6.15732176,NA
"B10_1",29,"susceptible","resistant",-6.93169326,-5.19958286,NA
"B10_12",28,"susceptible","susceptible",NA,-5.44108192,-6.09525046
"B10_12",27,"susceptible","susceptible",-7.7275198,NA,-5.73197759
"B10_12",29,"susceptible","susceptible",-7.06950279,-4.30868149,NA
"B10_12",30,"susceptible","susceptible",-7.41131195,NA,-3.77298689
"B10_12",26,"susceptible","susceptible",-6.27266792,-3.95629192,NA
"B10_13",28,"resistant","susceptible",NA,-4.32504487,-7.40915046
"B10_13",26,"resistant","susceptible",-11.45704515,-6.17912176,NA
"B10_13",27,"resistant","susceptible",-6.56071792,NA,-5.92739623
"B10_14",28,"resistant","susceptible",NA,-5.81114487,-6.49710496
"B10_14",26,"resistant","susceptible",-7.29199515,-5.96447176,NA
"B10_14",27,"resistant","susceptible",-6.8512198,NA,-6.21214623
"B10_15",27,"resistant","susceptible",-6.71341868,NA,-8.32042575
"B10_15",26,"resistant","susceptible",-7.49674515,-4.47862176,NA
"B10_15",28,"resistant","susceptible",NA,-5.13542759,-7.02905496
"B10_18",26,"susceptible","susceptible",-8.97341484,-5.69180274,NA
"B10_18",27,"susceptible","susceptible",-8.6823198,NA,-6.35817575
"B10_18",28,"susceptible","susceptible",NA,-5.30823192,-6.91595496
"B10_2",26,"resistant","susceptible",-7.73536484,-4.38814192,NA
"B10_2",29,"resistant","susceptible",-8.15446792,-5.00278149,NA
"B10_2",27,"resistant","susceptible",-7.48296868,NA,-6.14357759
"B10_2",30,"resistant","susceptible",-7.25486195,NA,-5.77408689
"B10_2",28,"resistant","susceptible",NA,-5.49109487,-5.92960046
"B10_21",28,"resistant","resistant",NA,-4.60153192,-7.65212494
"B10_21",26,"resistant","resistant",-8.41731484,-4.25620274,NA
"B10_21",27,"resistant","resistant",-8.06451868,NA,-7.01127575
"B10_3",26,"susceptible","susceptible",-6.25484515,-5.64152176,NA
"B10_3",30,"susceptible","susceptible",-8.39050799,NA,-5.20945235
"B10_3",27,"susceptible","susceptible",-7.0234198,NA,-6.12664623
"B10_3",28,"susceptible","susceptible",NA,-7.01563192,-6.56135046
"B10_3",29,"susceptible","susceptible",-7.60154326,-5.02352029,NA
"B10_5",28,"resistant","susceptible",NA,-4.48442759,-5.38570496
"B10_5",30,"resistant","susceptible",-6.79850799,NA,-6.13638689
"B10_5",29,"resistant","susceptible",-6.93158286,-4.15368286,NA
"B10_5",26,"resistant","susceptible",-8.48851484,-6.04282176,NA
"B10_5",27,"resistant","susceptible",-5.54301868,NA,-7.36149623
"B11_1",29,"resistant","susceptible",-7.03940279,-4.88797494,NA
"B11_1",33,"resistant","susceptible",NA,-5.53538578,-5.84336683
"B11_1",30,"resistant","susceptible",-6.62777948,NA,-5.89773689
"B11_10",30,"resistant","susceptible",-6.50486195,NA,-5.44710799
"B11_10",29,"resistant","susceptible",-5.85679326,-5.43137029,NA
"B11_10",33,"resistant","susceptible",NA,-6.01588578,-7.67251683
"B11_12",33,"resistant","susceptible",NA,-5.36813578,-4.756986
"B11_12",29,"resistant","susceptible",-6.28710279,-4.41623149,NA
"B11_12",30,"resistant","susceptible",-6.84807948,NA,-4.62015799
"B11_13",29,"resistant","susceptible",-7.83139326,-5.56947494,NA
"B11_13",30,"resistant","susceptible",-6.85742948,NA,-4.89858689
"B11_13",33,"resistant","susceptible",NA,-6.79600467,-7.34880235
"B11_16",33,"resistant","susceptible",NA,-6.2460732,-6.94145235
"B11_16",29,"resistant","susceptible",-6.18289326,-6.96527029,NA
"B11_16",30,"resistant","susceptible",-6.83325496,NA,-6.58680799
"B11_18",30,"resistant","susceptible",-6.87200496,NA,-6.80227029
"B11_18",33,"resistant","susceptible",NA,-6.38590467,-6.056636
"B11_18",29,"resistant","susceptible",-6.60431792,-5.06553149,NA
"B11_19",33,"resistant","susceptible",NA,-6.55093578,-3.446686
"B11_19",30,"resistant","susceptible",-6.48295496,NA,-4.18177029
"B11_19",29,"resistant","susceptible",-6.90970279,-5.02653149,NA
"B11_2",33,"susceptible","susceptible",NA,-7.0946732,-5.51801683
"B11_2",30,"susceptible","susceptible",-6.82507948,NA,-4.70595235
"B11_2",29,"susceptible","susceptible",-7.35174326,-4.96938149,NA
"B11_20",30,"resistant","susceptible",-6.73600496,NA,-5.31348689
"B11_20",33,"resistant","susceptible",NA,-7.6251232,-5.9387732
"B11_20",29,"resistant","susceptible",-7.62224326,-5.33623149,NA
"B11_9",33,"resistant","susceptible",NA,-5.25488578,-5.348736
"B11_9",29,"resistant","susceptible",-6.96901792,-4.02530279,NA
"B11_9",30,"resistant","susceptible",-6.14176195,NA,-4.33485235
"B12_13",32,"susceptible","susceptible",-6.96939821,-6.71960467,NA
"B12_13",34,"susceptible","susceptible",NA,-4.40692824,-4.09367003
"B12_15",34,"resistant","susceptible",NA,-3.55420596,-3.48838224
"B12_15",33,"resistant","susceptible",-5.87578393,NA,-5.84384131
"B12_15",32,"resistant","susceptible",-8.45926527,-4.82186527,NA
"B12_17",34,"resistant","susceptible",NA,-6.34932003,-6.66242003
"B12_17",33,"resistant","susceptible",-11.16286457,NA,-7.18126325
"B12_17",32,"resistant","susceptible",-8.36969821,-5.63973033,NA
"B12_3",33,"resistant","susceptible",-6.59501457,NA,-6.50309131
"B12_3",32,"resistant","susceptible",-7.17907618,-5.23459235,NA
"B12_3",34,"resistant","susceptible",NA,-5.82410596,-4.40794579
"B12_7",34,"resistant","susceptible",NA,-6.83912654,-4.29018224
"B12_7",33,"resistant","susceptible",-6.87867618,NA,-6.17797824
"B12_7",32,"resistant","susceptible",-6.55942618,-5.58790467,NA
"B12_8",34,"resistant","susceptible",NA,-3.55437654,-2.89718224
"B12_8",32,"resistant","susceptible",-8.54379821,-5.18108033,NA
"B12_8",33,"resistant","susceptible",-7.58183393,NA,-6.39829131
"B13_10",39,"resistant","susceptible",NA,-5.6491171,-6.67916752
"B13_10",35,"resistant","susceptible",NA,-6.43669767,-6.85151022
"B13_10",38,"resistant","susceptible",-9.64796491,NA,-7.03597347
"B13_15",38,"susceptible","susceptible",-8.94692489,NA,-7.02954432
"B13_15",39,"susceptible","susceptible",NA,-6.62240299,-7.02186752
"B13_15",35,"susceptible","susceptible",NA,-6.40717489,-5.49481834
"B13_17",39,"resistant","susceptible",NA,-6.6952671,-5.3784671
"B13_17",35,"resistant","susceptible",NA,-7.22584767,-5.37781022
"B13_17",38,"resistant","susceptible",-6.07902489,NA,-4.74371021
"B13_18",35,"susceptible","susceptible",NA,-5.78971212,-6.24586834
"B13_18",38,"susceptible","susceptible",-6.23284432,NA,-5.32187347
"B13_18",39,"susceptible","susceptible",NA,-6.89330299,-6.36275046
"B13_19",39,"resistant","susceptible",NA,-7.43745299,-6.1500171
"B13_19",38,"resistant","susceptible",-6.78147489,NA,-5.91947347
"B13_19",35,"resistant","susceptible",NA,-6.5940735,-6.16606834
"B13_3",35,"susceptible","susceptible",NA,-6.19119767,-6.61255039
"B13_3",39,"susceptible","susceptible",NA,-6.07890299,-4.29946752
"B13_3",38,"susceptible","susceptible",-9.69894432,NA,-4.12257347
"B13_4",38,"resistant","susceptible",-5.29214432,NA,-6.59366021
"B13_4",35,"resistant","susceptible",NA,-6.06261212,-5.68890039
"B13_4",39,"resistant","susceptible",NA,-6.76940299,-5.33661752
"B13_6",39,"resistant","resistant",NA,-5.80192874,-4.30780046
"B13_6",38,"resistant","resistant",-6.20121491,NA,-4.92756021
"B13_6",35,"resistant","resistant",NA,-6.2657735,-6.27525039
"B13_7",39,"resistant","susceptible",NA,-5.99045299,-5.53775046
"B13_7",38,"resistant","susceptible",-7.64837489,NA,-5.48199432
"B13_7",35,"resistant","susceptible",NA,-5.09104767,-4.34286834
"B14_10",39,"resistant","susceptible",NA,-6.71345497,NA
"B14_10",38,"resistant","susceptible",-9.18470689,-4.97153655,NA
"B14_10",40,"resistant","susceptible",NA,NA,-4.49009151
"B14_16",38,"susceptible","susceptible",-8.78719151,-3.90841661,NA
"B14_16",40,"susceptible","susceptible",NA,-5.47310497,-4.14209777
"B14_16",39,"susceptible","susceptible",-8.07414944,NA,-3.69661432
"B14_17",40,"susceptible","susceptible",NA,-5.69775688,-4.97274151
"B14_17",39,"susceptible","susceptible",-8.18061432,NA,-5.4468882
"B14_17",38,"susceptible","susceptible",-10.2261228,-4.02501661,NA
"B14_20",38,"susceptible","susceptible",-8.28020689,-6.87008655,NA
"B14_20",39,"susceptible","susceptible",-7.1925753,NA,-6.5540882
"B14_20",40,"susceptible","susceptible",NA,-8.75070688,-5.89515497
"B14_22",39,"resistant","susceptible",-8.26354944,NA,-5.32481432
"B14_22",38,"resistant","susceptible",-6.3903728,-5.03721661,NA
"B14_23",40,"susceptible","susceptible",NA,-7.61675688,-5.82960497
"B14_23",38,"susceptible","susceptible",-7.89900689,-5.22741661,NA
"B14_23",39,"susceptible","susceptible",-9.7373253,NA,-4.22201432
"B14_24",38,"resistant","susceptible",-8.0067228,-6.15898655,NA
"B14_24",39,"resistant","susceptible",-9.57991432,NA,-5.53285377
"B14_24",40,"resistant","susceptible",NA,-6.48150688,-5.21689151
"B14_3",40,"resistant","susceptible",NA,-6.29195497,-6.17684151
"B14_3",39,"resistant","susceptible",-6.63316432,NA,-4.6304882
"B14_3",38,"resistant","susceptible",-8.4402728,-6.02478655,NA
